poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.29860026478876045,-0.0026079738169911774,0.0060891415364689285,0.030178023434695778,0.030675547519907236,0.2919563792985291,-159.21245297140462,390
Store,0.3114904953414857,0.0016380463765981817,0.006158782432599545,0.0313560457589214,0.0319131479292749,0.3017718141164641,100.0,390
Education,0.6101552169199586,-0.010331295198430634,0.07808130031194314,0.165551334867297,0.18274900348365966,0.4537588874958491,-630.7083453819046,390
Public Transportation,0.361410219568968,4.978740518324497e-05,0.008380462515759442,0.04116249194297329,0.04200690914775421,0.35045870538947277,3.039438070528939,390
Restaurant,0.2975811306670794,-0.0025523394012443535,0.006010418376072336,0.029890674428766216,0.03038195369693631,0.29037891447475406,-155.06571811473984,400
Store,0.3110196180194994,0.0016459727090392521,0.006119324771085056,0.03110294835298968,0.031656441773260886,0.3000579338047987,100.0,400
Education,0.6111050813955075,-0.010443121428882441,0.07838033566207003,0.16589587147795343,0.18318258215984956,0.4550978129723372,-634.4650413419097,400
Public Transportation,0.36112499798314673,4.9170339403801e-05,0.008371346313802592,0.04124878473117474,0.0420896574372153,0.3497385807821375,2.9873119483555435,400
Restaurant,0.2965520760360628,-0.0024933109102808827,0.005931451482235149,0.029582764039066362,0.03006834623955667,0.2888428817553554,-150.81971407638278,410
Store,0.3105792853415617,0.0016531730785659382,0.006080561651166739,0.030855523035413248,0.03140547007377635,0.298380593627257,100.0,410
Education,0.6129672668953368,-0.01057775506407406,0.0788040207110296,0.16620095418122047,0.1836326276803144,0.4563453520805707,-639.8455915607966,410
Public Transportation,0.36073402015494904,4.5716468321527385e-05,0.008355685578864201,0.04132999576791308,0.042166146867754904,0.3490378801226239,2.765377014316287,410
Restaurant,0.2955486716032666,-0.002431455971290607,0.0058512774937716115,0.02925673773061935,0.02973688236528906,0.2873469577753153,-146.58340998728374,420
Store,0.3101620417035306,0.0016587524955938317,0.006042788770226725,0.030612561105767343,0.0311591516850873,0.2967396925676539,100.0,420
Education,0.6155226551236906,-0.010723151745054631,0.07933340613299263,0.1663710437624734,0.18400578128941963,0.45745195371689024,-646.4588161005753,420
Public Transportation,0.36036552001199085,4.3066639400898965e-05,0.008339312862945902,0.04140834702164595,0.04223971457474258,0.3483596252974575,2.5963270298189456,420
Restaurant,0.29459707123283285,-0.0023707339881704854,0.005771621336592252,0.02891303952920601,0.029388009255949435,0.2858897800564491,-142.32006021252076,430
Store,0.30964379952714366,0.0016657764089126753,0.0060039470150982975,0.03037341233253002,0.03091628608739259,0.29513425602397053,100.0,430
Education,0.6168410326134921,-0.010800244935513008,0.07954466701313051,0.1664377214364815,0.18415271889529777,0.4584071618389785,-648.3610211866787,430
Public Transportation,0.3600577261166953,4.226378962139666e-05,0.008326445341624208,0.04148388632496265,0.04231123645583482,0.34770366959843263,2.5371826251870186,430
Restaurant,0.2936835079755535,-0.0023101010779150648,0.0056906417466520125,0.02854682101157681,0.02901668186346533,0.28446973410701115,-138.02214089831796,440
Store,0.30903834080557135,0.0016737177549049434,0.005963169147920175,0.030133834223401913,0.030672561356481,0.29356296574556445,100.0,440
Education,0.6202463897810072,-0.010846415093318603,0.07980390452396773,0.16609841526846586,0.18395570665676483,0.4592828220138891,-648.0432594762437,440
Public Transportation,0.3598191199663567,4.295735148503187e-05,0.008316055190111218,0.04155715576960436,0.04238103495963838,0.3470664044168329,2.5665827681604285,440
Restaurant,0.29279303705734605,-0.0022621132382427606,0.0056242650245823585,0.028268326457861873,0.028733490590117323,0.28308445494210904,-134.58706926045394,450
Store,0.3084248671398547,0.00168078051678583,0.00592162790268955,0.02989448310469459,0.030428946317103637,0.2920260757856412,100.0,450
Education,0.6285102281492148,-0.009137230384660022,0.08171744226915163,0.16698806485095663,0.1856859316011234,0.46001703583923853,-543.6301940323071,450
Public Transportation,0.3596222948677325,4.527993450942766e-05,0.008305812061840489,0.04162609805543981,0.04244663123329384,0.3464449625052353,2.693982590660727,450
Restaurant,0.2919192301977002,-0.002229258044157584,0.005572208886902926,0.02810593119443434,0.02856612134606509,0.2817317522160189,-168.41680540132757,460
Store,0.30779527622991504,0.0013236553435658574,0.005515874836904955,0.027481385525383355,0.027998202837728723,0.2905229862869694,100.0,460
Education,0.634228813674544,-0.009395040261667235,0.08214459146614235,0.16566235094752077,0.18467127997358065,0.4604659148810845,-709.7799519592082,460
Public Transportation,0.3594270192902322,4.849196296184127e-05,0.008294086535580954,0.041693500397491444,0.0425104398399364,0.3458405052624659,3.6634886262164357,460
Restaurant,0.2910550661360483,-0.0021929278625821857,0.005523894898528447,0.02796962773409339,0.028425420978822204,0.2804118727704735,-164.53711190795963,470
Store,0.3071519171694784,0.0013327861642599434,0.005477394097026927,0.027285062799238587,0.02779748512173172,0.28905022147169374,100.0,470
Education,0.6324154819550524,-0.009365726012389712,0.0815011775279374,0.16566959208660173,0.1843939772792003,0.4607958074442228,-702.7178300271613,470
Public Transportation,0.3592425983754483,5.056191779801218e-05,0.008286549862534838,0.041759166964649506,0.04257337639532739,0.3452498177260853,3.7937006816159218,470
Restaurant,0.29020704023470256,-0.002119441196763808,0.005515543649339588,0.02812011129267168,0.02857743602693341,0.27912572065430163,-158.43665736547345,480
Store,0.30657900276270256,0.0013377214793637,0.005440365963949327,0.027093553300387745,0.02760196937731616,0.28760509924098304,100.0,480
